Speaker,Block,Position,Word,POA,V,Rep,V1,C,V2,v1F2_1,v1F2_2,v1F2_3,v1F2_4,v1F2_5,v1F3_1,v1F3_2,v1F3_3,v1F3_4,v1F3_5,v2F2_1,v2F2_2,v2F2_3,v2F2_4,v2F2_5,v2F3_1,v2F3_2,v2F3_3,v2F3_4,v2F3_5
F01,1,VC,avakaashaalu,palatal,a,rep1,a,sh,a,1766.6,1869.2,1954.2,2259,2231.1,3274.7,3166.7,3136.1,3192.5,2974.2,2202.9,1942.6,1870.8,1778.1,1720.7,3482.7,3176.8,3308,3122.7,3099.5
F01,1,VC,avakaashaalu,palatal,a,rep2,a,sh,a,1809.8,1865.5,1987.4,2052.1,2248.1,3329.9,3259.3,3262.3,3183.3,3375.7,2131.4,1936.9,1839.7,1755.4,1696.4,3289.7,3280.2,3194.6,3218.1,3231
F01,1,VC,jiivaraashula,palatal,a,rep1,a,sh,u,1583.1,1616,1601.5,1715.5,1777,3231.3,3385.2,3263.6,3330.4,3334.3,1900.6,1871.8,1880,1885.5,1914.4,3144.4,3058.6,3060.3,3044.5,3059.3
F01,1,VC,jiivaraashula,palatal,a,rep2,a,sh,u,1504,1489.3,1538.8,1561.7,1753.6,3221.4,3159.9,3088.9,3146.3,3254.9,1795.6,1757,1785,1810.2,1813.3,3124.5,3106.3,3088.6,3071.1,3082.6
F01,1,VC,prakaashincindi,palatal,a,rep1,a,sh,i,1671.6,1831,1932.3,1936.3,2082.8,3327.6,3260.5,3277.6,3314.7,3261.4,2133.8,2186.4,2205.9,2246.8,2288.9,3213.1,3208.3,3185,3199.9,3219.5
F01,1,VC,prakaashincindi,palatal,a,rep2,a,sh,i,1594.3,1673.6,1812,1830.2,1935.3,3168.9,3112,3056.1,3086.6,3190.1,2215.9,2345.1,2278.3,2224.9,2183.4,3275.6,3346.9,3276.8,3243,3241.5
F01,1,VC,vinyaashamu,palatal,a,rep1,a,sh,a,1451.5,1519.2,1739.3,1896.1,2050.9,3485.9,3472.1,3390.8,3181.7,3235.2,1939.9,1903.6,1773.3,1570.4,1502.3,3236.4,3303.2,3153,3080.2,2999.1
F01,1,VC,vinyaashamu,palatal,a,rep2,a,sh,a,1503,1503.8,1589.4,1671.2,1842.1,3381.5,3366.1,3335.2,3391.8,3307.1,1772.3,1724.9,1640.7,1533.8,1438,3208.2,3212.6,3216.2,3220.7,3227.2
F01,1,VC,aadeesham,palatal,e,rep1,e,sh,a,2395,2431.4,2439.9,2420.4,2230.5,3185.2,3165,3233.9,3267.8,2977.7,2024.8,1979.5,1928.4,1850.8,1772.4,3168.8,3244.9,3353.2,3279.4,3226.8
F01,1,VC,aadeesham,palatal,e,rep2,e,sh,a,2464.5,2455.5,2381.2,2265.7,2167.2,3118.4,3150.4,3158.8,3183.8,3220.2,1847.2,1844.2,1820.3,1784.6,1714.6,3191,3187,3222.1,3248.9,3245
F01,1,VC,tiishaaraa,palatal,i,rep1,i,sh,a,2783.1,2725.9,2679.3,2597.9,2390.5,3280.3,3259.2,3249.1,3175.4,3233.7,2064.7,2025.8,1927.6,1847.5,1806.7,3458.9,3470.6,3266.3,3213.7,3258.4
F01,1,VC,tiishaaraa,palatal,i,rep2,i,sh,a,2698.5,2718,2686.1,2736.4,2377.5,3260.7,3254.8,3233.9,3139.8,2851.7,2059.4,1950.9,1868.4,1825.5,1761.2,3368,3297.1,3298.6,3185.6,3172.6
F01,1,VC,aakroosham,palatal,o,rep1,o,sh,a,1195.8,1191.1,1290.2,1498.5,1735.3,3052.8,3000.2,2936.1,2973.9,3033.5,2076.1,1979.9,1850.9,1799.2,1753.3,3046.7,3108.3,3004.1,3025.4,3183.3
F01,1,VC,aakroosham,palatal,o,rep2,o,sh,a,1213.6,1244.3,1370.8,1478.9,1716.7,3101.1,3060,3017,3058.8,3124,1702.6,1664.6,1632.5,1595.6,1554.9,3206.5,3211.8,3221.1,3241.9,3246.8
F01,1,VC,aaSaaDha,retroflex,a,rep1,a,S,a,1726.6,1834.5,1909,2037.7,2237.8,3154.6,3072.5,2977.8,2952.5,3108.4,1931.4,1791.4,1711.6,1608.2,1553.9,3239.7,3164.7,3129.2,3064.1,3066.7
F01,1,VC,aaSaaDha,retroflex,a,rep2,a,S,a,1529.7,1614.6,1767.7,1893.3,2075,3319.3,3221,3119.6,3211.7,3344.8,1902.7,1803.1,1721.4,1619.1,1581.6,3179.1,3116,3066.1,3073.7,3085.3
F01,1,VC,dvibhaaSaa,retroflex,a,rep1,a,S,a,1520.3,1632.2,1754.8,1876.5,2063.3,3371.7,3241.9,3089.7,3033.2,3460.1,2046.3,1878.9,1801.4,1731.2,1627.1,3282.6,3105.7,3140.9,3206.8,2954.4
F01,1,VC,dvibhaaSaa,retroflex,a,rep2,a,S,a,1455.4,1542.4,1667.6,1821.3,2047.2,3298.4,3183,3067.1,3004.4,3323.5,1975.8,1808,1743.9,1660.4,1536.3,3341.5,3125.5,3137.5,3114.9,3055
F01,1,VC,kaaSaayam,retroflex,a,rep1,a,S,a,2044.6,2071.4,2168.2,2195.9,2157.4,3104.1,3134.5,3292.4,3318.7,3300.1,2010.3,1879.7,1761.3,1704.9,1674.1,3303.6,3281.6,3346.4,3476.7,3301.7
F01,1,VC,kaaSaayam,retroflex,a,rep2,a,S,a,1592.9,1665.6,1760.7,1919.5,2124.6,3425.8,3315.9,3214.1,3077.8,3087.5,2050.1,1900.2,1780.3,1757.3,1696.1,3273.5,3327,3450.4,3596.3,3296.8
F01,1,VC,prakaaS,retroflex,a,rep1,a,S,NA,1653.2,1747.6,1869.6,2076.8,2239.8,3127.6,3031.4,3018.7,3365.4,3065.7,0,0,0,0,0,0,0,0,0,0
F01,1,VC,prakaaS,retroflex,a,rep2,a,S,NA,1469.9,1565.9,1671,1887.3,2094.3,3297.4,3213.1,3071.4,3055.5,2985.9,0,0,0,0,0,0,0,0,0,0
F01,1,VC,tamaaSaa,retroflex,a,rep1,a,S,a,1512.8,1629.9,1861.1,2034,2082.3,3469.5,3300.3,3192.2,3312.2,3125.2,2025.3,1815.1,1693.7,1583.6,1538,3339.5,3271.7,3212.5,3094.5,3161.6
F01,1,VC,tamaaSaa,retroflex,a,rep2,a,S,a,1508.2,1675.4,1836,2058.9,2254.3,3394.7,3304.4,3138.6,3252.2,3229.9,1935,1843,1749,1619.8,1569.4,3215,3348.2,3298.2,3190.3,3215.7
F01,1,VC,telugubhaaSaloo,retroflex,a,rep1,a,S,a,1629.4,1748.2,1867.8,2148,2161.4,3165.5,3106.4,3027.7,3374.7,3392.9,2047.8,2021.5,1991.2,2009.2,2016.9,3467.7,3381.3,3300.4,3221.4,3190
F01,1,VC,telugubhaaSaloo,retroflex,a,rep2,a,S,a,1661.5,1715.4,1773,1859.7,2035.4,3276.4,3196.8,3038.9,3031.4,3273.1,2165.9,2093.7,1998.6,1956,1924.6,3391.1,3379.2,3336.7,3291.4,3251.2
F01,1,VC,haariiS,retroflex,i,rep1,i,S,NA,2800.3,2788.1,2770.9,2714.7,2100.1,3124.6,3163.9,3236.5,3209.4,2935.2,0,0,0,0,0,0,0,0,0,0
F01,1,VC,haariiS,retroflex,i,rep2,i,S,NA,2721.8,2751.6,2718.7,2649.2,2309.9,3092.2,3130.8,3134.4,3140.6,2956.7,0,0,0,0,0,0,0,0,0,0
F01,1,VC,duuSincaaDu,retroflex,u,rep1,u,S,i,1006.1,1060.9,1242.6,1307.7,1873.3,3269.5,3212.6,3081.8,2970.6,3206,2057.8,1947.9,2552.2,2511.9,2481.3,3072.5,2829,3629.7,3411,3337.7
F01,1,VC,duuSincaaDu,retroflex,u,rep2,u,S,i,957.6,1023.3,1131.1,1317.8,1977.5,3221.9,3214.5,3027.4,2987.3,2968.2,2460,2362.8,2362.6,2365.1,2372.5,3209,3102.3,3088.7,3113,3099
F01,1,VC,muuSika,retroflex,u,rep1,u,S,i,1986.5,1021.7,1132.4,1328.8,1677.4,3923.3,3436.8,3124.5,3080.1,2637,2508,2629.6,2680.9,2672.3,2697.9,3293.7,3326.8,3295.9,3229.7,3092.8
F01,1,VC,muuSika,retroflex,u,rep2,u,S,i,474,504.3,939.8,1123.6,1700.8,2266.4,2174.6,2496.6,3109.1,3057.1,2418.1,2490.5,2486.8,2530.5,2561.6,3091.6,3204.5,3236.4,3292.6,3241.5
F02,1,CV,Saaping,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,609.6,1668.8,1482.6,1364.3,1173.9,2102.6,3088.6,3165.3,3138.9,2946.7
F02,1,CV,Saaping,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1931.9,1619.7,1430.9,1295.5,1185.1,3003.8,2998.2,3056.7,3009.2,2962.3
F02,1,CV,Saapingu,retroflex,a,rep1,NA,S,a,0,0,0,0,0,0,0,0,0,0,1965,1715.7,1447.5,1272.5,1158,2642.9,2762.2,2956.1,2827.7,2864.6
F02,1,CV,Saapingu,retroflex,a,rep2,NA,S,a,0,0,0,0,0,0,0,0,0,0,1912.6,1764.7,1418.1,1313.8,1184.5,3165.7,3006.6,2699.6,2940.1,2953.5
